action,current_model,current_prompt,model,prompt,rank,smiles
REMOVE/VERIFY,gemma 3,13,,,77,C1=CC(=CC=C1/C=C/CO)O
REMOVE/VERIFY,gemma,11,,,73,C1=CC(=CC=C1/C=C\\C(=O)O)O
REMOVE/VERIFY,gemma 5,13,,,38,C1=CC(=CC=C1/C=C\\C2=CC(=CC(=C2)O)O)O
REMOVE/VERIFY,nemotron,11,,,69,C1=CC(=CC=C1/C=C\\\\C(=O)O)O
REMOVE/VERIFY,gemma - 4,12,,,87,C1=CC(=CC=C1C=C(C#N)C(=O)O)O
REMOVE/VERIFY,gemma 5,13,,,24,C1=CC(=CC=C1CCC2=CC(=CC(=C2)O)O)O
REMOVE/VERIFY,gemma,13,,,49,C1=CC(C=C1)C=CC(=O)O
REMOVE/VERIFY,gemma 5,13,,,84,C1=CC2C3C=CC=C3C=CC2=C1
REMOVE/VERIFY,gemma - 4,12,,,97,C1=CC=C(C(=C1)/C=C/C=O)O
REMOVE/VERIFY,gemma - 4,12,,,122,C1=CC=C(C(=C1)/C=C\\C(=O)O)O
REMOVE/VERIFY,nemotron,11,,,120,C1=CC=C(C(=C1)/C=C\\\\C(=O)O)O
REMOVE/VERIFY,nemotron,11,,,99,C1=CC=C(C(=C1)/C=C\\\\C(=O)O)[O-]
REMOVE/VERIFY,gemma 2,13,,,141,C1=CC=C(C(=C1)C(=O)O)N
REMOVE/VERIFY,gemma 5,13,,,48,C1=CC=C(C(=C1)CC2=CC=C(C=C2)O)O
REMOVE/VERIFY,gemma,13,,,131,C1=CC=C(C=C1)C(=O)O
REMOVE/VERIFY,gemma 5,13,,,68,C1=CC=C(C=C1)C2=C(C=CC(=C2)O)O
REMOVE/VERIFY,gemma 5,13,,,119,C1CC2C=CC=CC2=C1
REMOVE/VERIFY,gemma 5,13,,,126,C1CC2CC=CC=C2C1
REMOVE/VERIFY,gemma 5,13,,,107,C1CC2CCC=C2C=C1
REMOVE/VERIFY,gemma 5,13,,,129,C1CC=C2C=CCC2C1
REMOVE/VERIFY,gpt120,11,,,137,C=CCS(=O)C[C@@H](C(=O)N)O
REMOVE/VERIFY,gemma 4,13,,,168,C=CC[S][C@@H](C(=O)O)N
REMOVE/VERIFY,gemma - 2,12,,,117,CC(=C)C1=CC=CC=C1
REMOVE/VERIFY,gemma - 2,12,,,56,CC(=CCC/C(=C\\C=O)/C)C
REMOVE/VERIFY,gemma - 2,12,,,22,CC(=CCCC(=C)C=C)CCC=C(C)C=O
REMOVE/VERIFY,gemma 4,13,,,67,CC(=CCCC(=CC=O)C)C
REMOVE/VERIFY,gemma - 4,12,,,100,CC(=O)/C=C/C1=CC=CC=C1O
REMOVE/VERIFY,gemma 4,13,,,9,CC(C)=CCC(C)=C1CCC(C1)C=C
REMOVE/VERIFY,gemma 4,13,,,12,CC(C)=CCC(C)=CC(C)C
REMOVE/VERIFY,gemma,13,,,136,CC(C1=CC(=C(C=C1)O)C)C
REMOVE/VERIFY,gemma 5,13,,,39,CC(C1=CC=CC=C1)C2=C(C=C(C=C2)O)O
REMOVE/VERIFY,gemma,13,,,123,CC(C1CCC(CC1)O)C
REMOVE/VERIFY,gemma,13,,,118,CC1=CC(=C(C=C1)C(C)C)O
REMOVE/VERIFY,gemma - 4,12,,,160,CC1=CC(=C(C=C1)O)OC
REMOVE/VERIFY,gemma - 2,12,,,145,CC1=CC=C(C=C1)C
REMOVE/VERIFY,gemma - 2,12,,,115,CC1=CC=C(C=C1)C(C)C
REMOVE/VERIFY,gemma - 2,12,,,164,CC1=CC=CC=C1C
REMOVE/VERIFY,gemma - 5,12,,,133,CC1=CCC(=CC1)C(C)C
REMOVE/VERIFY,gemma - 3,12,,,111,CC1=CCC(CC1)C(=C)C
REMOVE/VERIFY,gemma 3,13,,,14,CC1=CCC(CC1)C(=CCC=C(C)C)C
REMOVE/VERIFY,gemma,13,,,103,CC1=CCC(CC1)C(C)O
REMOVE/VERIFY,gemma - 2,12,,,146,CC1=CCC2CC1C2(C)C
REMOVE/VERIFY,gemma - 2,12,,,130,CC1=CC[C@@H](CC1)C(=C)C
REMOVE/VERIFY,gemma - 5,12,,,144,CC1=CC[C@@H]2C[C@H]1C2(C)C
REMOVE/VERIFY,gemma - 2,12,,,110,CC1=CC[C@H](CC1)C(=C)C
REMOVE/VERIFY,gemma - 2,12,,,157,CC1=CC[C@H]2C[C@@H]1C2(C)C
REMOVE/VERIFY,gemma 5,13,,,128,CC1C=CCC2C1C=CC2
REMOVE/VERIFY,gemma 5,13,,,163,CC1C=CCCC1C(=C)C
REMOVE/VERIFY,gemma,13,,,143,CC1CC2CCC1(C)C2=O
REMOVE/VERIFY,gemma,13,,,158,CC1CC2CCC1(C)C2O
REMOVE/VERIFY,gemma 5,13,,,167,CC1CC=C(CC1C)C
REMOVE/VERIFY,gemma 5,13,,,85,CC1CC=CC(C1)C(=C)C
REMOVE/VERIFY,gemma 5,13,,,152,CC1CCC=C(C1C)C
REMOVE/VERIFY,gemma - 5,12,,,3,CCC(C)(C)C(=O)O[C@H]1C[C@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O)C
REMOVE/VERIFY,gemma - 2,12,,,92,CCC1=CC=CC=C1
REMOVE/VERIFY,gemma 4,13,,,78,CCC=CC(=O)O
REMOVE/VERIFY,gemma,13,,,140,CCCC(=O)O
REMOVE/VERIFY,gemma 4,13,,,93,CCCC(C)C(=O)O
REMOVE/VERIFY,gemma - 4,12,,,82,CCCC/C=C(\\CC)/C=O
REMOVE/VERIFY,gemma - 5,12,,,95,CCCC1=CC(=C(C=C1)O)OC
REMOVE/VERIFY,gemma 4,13,,,81,CCCCC(C)C(=O)O
REMOVE/VERIFY,gemma - 4,12,,,60,CCCCC/C=C(\\C)/C=O
REMOVE/VERIFY,gemma - 2,12,,,36,CCCCCCCCCCCCCCCC(=O)O
REMOVE/VERIFY,gemma,13,,,83,CCOC(=O)C1=CC(=C(C(=C1)O)O)O
REMOVE/VERIFY,gemma 4,13,,,91,CCOC(=O)C1=CC=CC=C1N
REMOVE/VERIFY,gemma - 3,12,,,2,CC[C@H](C)C(=O)O[C@H]1C[C@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O)C
REMOVE/VERIFY,gemma 5,13,,,166,CNC1=CC=CC=C1C(=O)OC
REMOVE/VERIFY,gemma,13,,,109,COC(=O)/C=C/C1=CC(=C(C=C1)O)OC
REMOVE/VERIFY,gemma,13,,,149,COC(=O)C1=CC(=C(C(=C1)O)O)O
REMOVE/VERIFY,gemma,13,,,96,COC(=O)C1=CC=C(C=C1)N
REMOVE/VERIFY,gemma - 5,12,,,155,COC(=O)[C@@H](N)C[S@](=O)CC=C
REMOVE/VERIFY,gemma 2,13,,,147,COC1=C(C(=CC=C1)OC)C(=O)O
REMOVE/VERIFY,gemma 2,13,,,106,COC1=C(C=C(C=C1)/C=C/C(=O)O)OC
REMOVE/VERIFY,gemma 5,13,,,10,COC1=C(C=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O
REMOVE/VERIFY,gemma - 2,12,,,156,COC1=C(C=C(C=C1)CC=C)OC
REMOVE/VERIFY,gemma - 5,12,,,98,COC1=C(C=CC(=C1)/C=C/C(=O)O)O
REMOVE/VERIFY,gemma 2,13,,,94,COC1=C(C=CC(=C1)/C=C/C(=O)OC)O
REMOVE/VERIFY,gemma - 5,12,,,89,COC1=C(C=CC(=C1)/C=C/C=O)O
REMOVE/VERIFY,gemma - 2,12,,,138,COC1=C(C=CC(=C1)C=C)O
REMOVE/VERIFY,gemma,13,,,64,COC1=C(C=CC(=C1)C=CC)O
REMOVE/VERIFY,gemma - 3,12,,,86,COC1=C(C=CC(=C1)CC=C)O
REMOVE/VERIFY,gemma,13,,,159,COC1=CC(=C(C(=C1)O)OC)C(=O)O
REMOVE/VERIFY,gemma,10,,,125,COC1=CC(=C(C=C1)C=CC(=O)O)OC
REMOVE/VERIFY,gemma,13,,,74,COC1=CC(=C(C=C1)C=CC)O
REMOVE/VERIFY,gemma,13,,,154,COC1=CC(=C(C=C1)C=CC)OC
REMOVE/VERIFY,gemma,13,,,127,COC1=CC(=C(C=C1)C=O)O
REMOVE/VERIFY,gemma,10,,,132,COC1=CC(=C(C=C1)O)C(=O)O
REMOVE/VERIFY,gemma 4,13,,,114,COC1=CC(=C(C=C1)OC)C=CC(=O)O
REMOVE/VERIFY,gemma,10,,,148,COC1=CC(=C(C=C1O)C(=O)O)OC
REMOVE/VERIFY,gemma,13,,,112,COC1=CC(=C(C=C1OC)C=CC(=O)O)O
REMOVE/VERIFY,gemma,13,,,45,COC1=CC(C=C1)C=CC(=O)O
REMOVE/VERIFY,gemma 2,13,,,124,COC1=CC=C(C=C1)C(=O)O
REMOVE/VERIFY,gemma,13,,,62,COC1=CC=C(C=C1)C=CC(=O)O
REMOVE/VERIFY,gemma,11,,,101,COc1=CC(=C(C=C1C=CC(=O)O)OC)O
REMOVE/VERIFY,gemma,11,,,113,COc1=CC(=CC=C1C=CC(=O)O)O
REMOVE/VERIFY,gpt120,11,,,58,COc1c(cc(cc1)C=CC(=O)O)O
REMOVE/VERIFY,nemotron,11,,,165,CS(=O)CC[C@@H](C(=O)O)N
REMOVE/VERIFY,gemma,11,,,171,CS(C)C(N)C(=O)O
REMOVE/VERIFY,gemma,13,,,142,NC1=CC=CC=C1C(=O)O
REMOVE/VERIFY,gemma,13,,,79,O=C1C=CC=CC2=C1C=C(O)C=C2O
REMOVE/VERIFY,gemma,13,,,71,O=C1C=CC=CC2=C1C=C(OC)C=C2O
REMOVE/VERIFY,gemma,13,,,88,O=C1C=CC=CC2=C1C=CC=C2O
REMOVE/VERIFY,unknown,4,,,188,O=[N+]([O-])CCCCc1ccc(C#N)cc1
REMOVE/VERIFY,unknown,4,,,189,O=[N+]([O-])CCCCc1ccc(C#N)cc1F
REMOVE/VERIFY,unknown,4,,,184,O=[N+]([O-])CCCCc1ccc(C(F)(F)F)cc1
REMOVE/VERIFY,unknown,1,,,196,O=[N+]([O-])OCCCCc1ccc(C#N)cc1
REMOVE/VERIFY,unknown,1,,,181,O=[N+]([O-])OCCCCc1ccc(C#N)cc1F
REMOVE/VERIFY,unknown,1,,,182,O=[N+]([O-])OCCCCc1ccc(C(F)(F)F)cc1
REMOVE/VERIFY,unknown,1,,,186,O=[N+]([O-])OCCCCc1ccc(F)cc1
REMOVE/VERIFY,unknown,1,,,185,O=[N+]([O-])OCCCCc1ccc(O)cc1
REMOVE/VERIFY,unknown,1,,,190,O=[N+]([O-])OCCCCc1ccc([N+](=O)[O-])cc1
REMOVE/VERIFY,unknown,4,,,199,O=[N+]([O-])c1ccc(C#N)cc1
REMOVE/VERIFY,unknown,4,,,197,O=[N+]([O-])c1ccc(C#N)cc1F
REMOVE/VERIFY,unknown,4,,,195,O=[N+]([O-])c1ccc(C(F)(F)F)cc1
REMOVE/VERIFY,unknown,4,,,198,O=[N+]([O-])c1ccc(F)cc1
REMOVE/VERIFY,gemma 2,13,,,139,OC1=CC(=C(C=C1C(=O)O)O)O
REMOVE/VERIFY,gemma - 2,12,,,177,[13CH](Br)(Br)Br
REMOVE/VERIFY,gemma - 2,12,,,178,[2H]C(Br)(Br)Br
REMOVE/VERIFY,gemma - 2,12,,,174,[2H]C([2H])(Br)Br
