Rank,SMILES,Binding_Affinity_kcal_mol,Model,Prompt,Previously_Found,Compound_Name,Binding_Residues
76,C1=CC(=C(C=C1O)O)C(=O)O,-6.7,gemma,10,False,"2,4-dihydroxybenzoic acid","UNK0, F43602, TYR366, PHE440, PHE360"
77,C1=CC(=CC=C1/C=C/CO)O,-6.7,gemma 3,13,False,4-[(E)-3-hydroxyprop-1-enyl]phenol,"UNK0, F43602, TYR366, PHE440, PHE360"
78,CCC=CC(=O)O,-6.7,gemma 4,13,False,pent-2-enoic acid,"UNK0, F43602, TYR366, PHE440, PHE360"
79,O=C1C=CC=CC2=C1C=C(O)C=C2O,-6.7,gemma,13,False,PubChem CID: None,"UNK0, F43602, TYR366, PHE440, PHE360"
80,C1=CC(=C(C=C1/C=C/C=O)O)O,-6.7,gemma 3,13,False,"(E)-3-(3,4-dihydroxyphenyl)prop-2-enal","UNK0, F43602, TYR366, PHE440, PHE360"
81,CCCCC(C)C(=O)O,-6.6,gemma 4,13,False,2-methylhexanoic acid,"UNK0, F43602, TYR366, PHE440, PHE360"
82,CCCC/C=C(\\CC)/C=O,-6.6,gemma - 4,12,False,(E)-2-ethylhept-2-enal,"UNK0, F43602, TYR366, PHE440, PHE360"
83,CCOC(=O)C1=CC(=C(C(=C1)O)O)O,-6.6,gemma,13,False,"ethyl 3,4,5-trihydroxybenzoate","UNK0, F43602, TYR366, PHE440, PHE360"
84,C1=CC2C3C=CC=C3C=CC2=C1,-6.6,gemma 5,13,False,"8a,8b-dihydro-as-indacene","UNK0, F43602, TYR366, PHE440, PHE360"
85,CC1CC=CC(C1)C(=C)C,-6.6,gemma 5,13,False,5-methyl-3-prop-1-en-2-ylcyclohexene,"UNK0, F43602, TYR366, PHE440, PHE360"
86,COC1=C(C=CC(=C1)CC=C)O,-6.6,gemma - 3,12,True,Eugenol,"UNK0, F43602, TYR366, PHE440, PHE360"
87,C1=CC(=CC=C1C=C(C#N)C(=O)O)O,-6.5,gemma - 4,12,False,2-cyano-3-(4-hydroxyphenyl)prop-2-enoic acid,"UNK0, F43602, TYR366, PHE440, PHE360"
88,O=C1C=CC=CC2=C1C=CC=C2O,-6.5,gemma,13,False,1-hydroxybenzo[7]annulen-5-one,"UNK0, F43602, TYR366, PHE440, PHE360"
89,COC1=C(C=CC(=C1)/C=C/C=O)O,-6.5,gemma - 5,12,False,(E)-3-(4-hydroxy-3-methoxyphenyl)prop-2-enal,"UNK0, F43602, TYR366, PHE440, PHE360"
90,CCOC(=O)/C=C/C1=CC=C(C=C1)O,-6.5,gemma - 5,12,False,ethyl (E)-3-(4-hydroxyphenyl)prop-2-enoate,"UNK0, F43602, TYR366, PHE440, PHE360"
91,CCOC(=O)C1=CC=CC=C1N,-6.5,gemma 4,13,False,ethyl 2-aminobenzoate,"UNK0, F43602, TYR366, PHE440, PHE360"
92,CCC1=CC=CC=C1,-6.4,gemma - 2,12,False,ethylbenzene,"UNK0, F43602, TYR366, PHE440, PHE360"
93,CCCC(C)C(=O)O,-6.4,gemma 4,13,False,2-methylpentanoic acid,"UNK0, F43602, TYR366, PHE440, PHE360"
94,COC1=C(C=CC(=C1)/C=C/C(=O)OC)O,-6.4,gemma 2,13,False,methyl (E)-3-(4-hydroxy-3-methoxyphenyl)prop-2-enoate,"UNK0, F43602, TYR366, PHE440, PHE360"
95,CCCC1=CC(=C(C=C1)O)OC,-6.4,gemma - 5,12,False,2-methoxy-4-propylphenol,"UNK0, F43602, TYR366, PHE440, PHE360"
96,COC(=O)C1=CC=C(C=C1)N,-6.4,gemma,13,False,methyl 4-aminobenzoate,"UNK0, F43602, TYR366, PHE440, PHE360"
97,C1=CC=C(C(=C1)/C=C/C=O)O,-6.4,gemma - 4,12,False,(E)-3-(2-hydroxyphenyl)prop-2-enal,"UNK0, F43602, TYR366, PHE440, PHE360"
98,COC1=C(C=CC(=C1)/C=C/C(=O)O)O,-6.4,gemma - 5,12,False,(E)-3-(4-hydroxy-3-methoxyphenyl)prop-2-enoic acid,"UNK0, F43602, TYR366, PHE440, PHE360"
99,C1=CC=C(C(=C1)/C=C\\\\C(=O)O)[O-],-6.3,nemotron,11,False,,"PHE360, PHE440, UNK0, F43602, TYR366"
100,CC(=O)/C=C/C1=CC=CC=C1O,-6.3,gemma - 4,12,False,(E)-4-(2-hydroxyphenyl)but-3-en-2-one,"UNK0, F43602, TYR366, PHE440, PHE360"
101,COc1=CC(=C(C=C1C=CC(=O)O)OC)O,-6.3,gemma,11,False,"3-(4-hydroxy-2,5-dimethoxyphenyl)prop-2-enoic acid","PHE360, PHE440, UNK0, F43602, TYR366"
102,C1=CC=C(C(=C1)/C=C/C(=O)O)O,-6.3,qwen,11,False,(E)-3-(2-hydroxyphenyl)prop-2-enoic acid,"PHE360, PHE440, UNK0, F43602, TYR366"
103,CC1=CCC(CC1)C(C)O,-6.3,gemma,13,False,1-(4-methylcyclohex-3-en-1-yl)ethanol,"UNK0, F43602, TYR366, PHE440, PHE360"
104,C1=CC(=C(C=C1)/C=C/C(=O)O)O,-6.3,gemma,13,False,(E)-3-(2-hydroxyphenyl)prop-2-enoic acid,"UNK0, F43602, TYR366, PHE440, PHE360"
105,C1=CC(=C(C=C1)O)/C=C/C(=O)O,-6.3,gemma 4,13,False,(E)-3-(2-hydroxyphenyl)prop-2-enoic acid,"UNK0, F43602, TYR366, PHE440, PHE360"
106,COC1=C(C=C(C=C1)/C=C/C(=O)O)OC,-6.3,gemma 2,13,False,"(E)-3-(3,4-dimethoxyphenyl)prop-2-enoic acid","UNK0, F43602, TYR366, PHE440, PHE360"
107,C1CC2CCC=C2C=C1,-6.2,gemma 5,13,False,"2,6,7,7a-tetrahydro-1H-indene","UNK0, F43602, TYR366, PHE440, PHE360"
108,C1=CC(=C(C=C1/C=C\\\\C(=O)O)O)O,-6.2,nemotron,11,False,,"PHE360, PHE440, UNK0, F43602, TYR366"
109,COC(=O)/C=C/C1=CC(=C(C=C1)O)OC,-6.2,gemma,13,False,methyl (E)-3-(4-hydroxy-3-methoxyphenyl)prop-2-enoate,"UNK0, F43602, TYR366, PHE440, PHE360"
110,CC1=CC[C@H](CC1)C(=C)C,-6.2,gemma - 2,12,False,(4S)-1-methyl-4-prop-1-en-2-ylcyclohexene,"UNK0, F43602, TYR366, PHE440, PHE360"
111,CC1=CCC(CC1)C(=C)C,-6.2,gemma - 3,12,True,Limonene,"UNK0, F43602, TYR366, PHE440, PHE360"
112,COC1=CC(=C(C=C1OC)C=CC(=O)O)O,-6.2,gemma,13,False,"3-(2-hydroxy-4,5-dimethoxyphenyl)prop-2-enoic acid","UNK0, F43602, TYR366, PHE440, PHE360"
113,COc1=CC(=CC=C1C=CC(=O)O)O,-6.2,gemma,11,False,3-(4-hydroxy-2-methoxyphenyl)prop-2-enoic acid,"PHE360, PHE440, UNK0, F43602, TYR366"
114,COC1=CC(=C(C=C1)OC)C=CC(=O)O,-6.2,gemma 4,13,False,"3-(2,5-dimethoxyphenyl)prop-2-enoic acid","UNK0, F43602, TYR366, PHE440, PHE360"
115,CC1=CC=C(C=C1)C(C)C,-6.2,gemma - 2,12,True,p-cymene,"UNK0, F43602, TYR366, PHE440, PHE360"
116,C1=CC(=C(C=C1C(=O)O)O)O,-6.2,gemma 2,13,False,"3,4-dihydroxybenzoic acid","UNK0, F43602, TYR366, PHE440, PHE360"
117,CC(=C)C1=CC=CC=C1,-6.2,gemma - 2,12,False,prop-1-en-2-ylbenzene,"UNK0, F43602, TYR366, PHE440, PHE360"
118,CC1=CC(=C(C=C1)C(C)C)O,-6.1,gemma,13,False,5-methyl-2-propan-2-ylphenol,"UNK0, F43602, TYR366, PHE440, PHE360"
119,C1CC2C=CC=CC2=C1,-6.1,gemma 5,13,False,"2,7a-dihydro-1H-indene","UNK0, F43602, TYR366, PHE440, PHE360"
120,C1=CC=C(C(=C1)/C=C\\\\C(=O)O)O,-6.1,nemotron,11,False,,"PHE360, PHE440, UNK0, F43602, TYR366"
121,C/C=C/C(=O)O,-6.1,gemma,13,False,(E)-but-2-enoic acid,"UNK0, F43602, TYR366, PHE440, PHE360"
122,C1=CC=C(C(=C1)/C=C\\C(=O)O)O,-6.1,gemma - 4,12,False,(Z)-3-(2-hydroxyphenyl)prop-2-enoic acid,"UNK0, F43602, TYR366, PHE440, PHE360"
123,CC(C1CCC(CC1)O)C,-6.1,gemma,13,False,4-propan-2-ylcyclohexan-1-ol,"UNK0, F43602, TYR366, PHE440, PHE360"
124,COC1=CC=C(C=C1)C(=O)O,-6.1,gemma 2,13,False,4-methoxybenzoic acid,"UNK0, F43602, TYR366, PHE440, PHE360"
125,COC1=CC(=C(C=C1)C=CC(=O)O)OC,-6.1,gemma,10,False,"3-(2,4-dimethoxyphenyl)prop-2-enoic acid","UNK0, F43602, TYR366, PHE440, PHE360"
126,C1CC2CC=CC=C2C1,-6.1,gemma 5,13,False,"2,3,3a,4-tetrahydro-1H-indene","UNK0, F43602, TYR366, PHE440, PHE360"
127,COC1=CC(=C(C=C1)C=O)O,-6.0,gemma,13,False,2-hydroxy-4-methoxybenzaldehyde,"UNK0, F43602, TYR366, PHE440, PHE360"
128,CC1C=CCC2C1C=CC2,-6.0,gemma 5,13,False,"4-methyl-3a,4,7,7a-tetrahydro-1H-indene","UNK0, F43602, TYR366, PHE440, PHE360"
129,C1CC=C2C=CCC2C1,-6.0,gemma 5,13,False,"5,6,7,7a-tetrahydro-1H-indene","UNK0, F43602, TYR366, PHE440, PHE360"
130,CC1=CC[C@@H](CC1)C(=C)C,-6.0,gemma - 2,12,False,(4R)-1-methyl-4-prop-1-en-2-ylcyclohexene,"UNK0, F43602, TYR366, PHE440, PHE360"
131,C1=CC=C(C=C1)C(=O)O,-6.0,gemma,13,False,benzoic acid,"UNK0, F43602, TYR366, PHE440, PHE360"
132,COC1=CC(=C(C=C1)O)C(=O)O,-5.9,gemma,10,False,2-hydroxy-5-methoxybenzoic acid,"UNK0, F43602, TYR366, PHE440, PHE360"
133,CC1=CCC(=CC1)C(C)C,-5.9,gemma - 5,12,False,"1-methyl-4-propan-2-ylcyclohexa-1,4-diene","UNK0, F43602, TYR366, PHE440, PHE360"
134,C=CC[S@](=O)C[C@@H](C(=O)O)N,-5.9,qwen,11,False,(2R)-2-amino-3-[(S)-prop-2-enylsulfinyl]propanoic acid,"PHE360, PHE440, UNK0, F43602, TYR366"
135,C/C=C/S(=O)C[C@@H](C(=O)O)N,-5.9,gemma,11,False,(2R)-2-amino-3-[(E)-prop-1-enyl]sulfinylpropanoic acid,"PHE360, PHE440, UNK0, F43602, TYR366"
136,CC(C1=CC(=C(C=C1)O)C)C,-5.8,gemma,13,False,2-methyl-4-propan-2-ylphenol,"UNK0, F43602, TYR366, PHE440, PHE360"
137,C=CCS(=O)C[C@@H](C(=O)N)O,-5.8,gpt120,11,False,PubChem CID: None,"PHE360, PHE440, UNK0, F43602, TYR366"
138,COC1=C(C=CC(=C1)C=C)O,-5.8,gemma - 2,12,False,4-ethenyl-2-methoxyphenol,"UNK0, F43602, TYR366, PHE440, PHE360"
139,OC1=CC(=C(C=C1C(=O)O)O)O,-5.8,gemma 2,13,False,"2,4,5-trihydroxybenzoic acid","UNK0, F43602, TYR366, PHE440, PHE360"
140,CCCC(=O)O,-5.8,gemma,13,False,butanoic acid,"UNK0, F43602, TYR366, PHE440, PHE360"
141,C1=CC=C(C(=C1)C(=O)O)N,-5.8,gemma 2,13,False,2-aminobenzoic acid,"UNK0, F43602, TYR366, PHE440, PHE360"
142,NC1=CC=CC=C1C(=O)O,-5.8,gemma,13,False,2-aminobenzoic acid,"UNK0, F43602, TYR366, PHE440, PHE360"
143,CC1CC2CCC1(C)C2=O,-5.8,gemma,13,False,PubChem CID: None,"UNK0, F43602, TYR366, PHE440, PHE360"
